2012,03,07,YHOO,Sell,100
2012,03,02,YHOO,Buy,100
2012,03,09,YHOO,Sell,100
2012,08,10,YHOO,Buy,100
2012,08,17,YHOO,Sell,100
2000,12,11,IBM,Buy,100
2000,12,18,IBM,Sell,100
2003,06,03,IBM,Buy,100
2003,06,10,IBM,Sell,100
2003,10,16,IBM,Buy,100
2003,10,23,IBM,Sell,100
2004,01,09,IBM,Buy,100
2004,01,16,IBM,Sell,100
2004,03,04,IBM,Buy,100
2004,03,11,IBM,Sell,100
2005,03,03,IBM,Buy,100
2005,03,10,IBM,Sell,100
2005,11,02,IBM,Buy,100
2005,11,09,IBM,Sell,100
2006,03,01,IBM,Buy,100
2006,03,08,IBM,Sell,100
2007,04,19,IBM,Buy,100
2007,04,26,IBM,Sell,100
2008,08,12,IBM,Buy,100
2008,08,19,IBM,Sell,100
2009,09,09,IBM,Buy,100
2009,09,16,IBM,Sell,100
2010,04,08,IBM,Buy,100
2010,04,15,IBM,Sell,100
2012,01,06,IBM,Buy,100
2012,01,13,IBM,Sell,100
2012,01,12,IBM,Buy,100
2012,01,20,IBM,Sell,100
2012,01,19,IBM,Buy,100
2012,01,26,IBM,Sell,100
2003,05,28,MSFT,Buy,100
2003,06,04,MSFT,Sell,100
2003,06,05,MSFT,Buy,100
2003,06,12,MSFT,Sell,100
2003,11,13,MSFT,Buy,100
2003,11,20,MSFT,Sell,100
2004,02,12,MSFT,Buy,100
2004,02,20,MSFT,Sell,100
2004,02,18,MSFT,Buy,100
2004,02,25,MSFT,Sell,100
2004,12,27,MSFT,Buy,100
2005,01,03,MSFT,Sell,100
2004,12,29,MSFT,Buy,100
2005,01,05,MSFT,Sell,100
2005,09,08,MSFT,Buy,100
2005,09,15,MSFT,Sell,100
2006,04,28,MSFT,Buy,100
2006,05,05,MSFT,Sell,100
2006,12,06,MSFT,Buy,100
2006,12,13,MSFT,Sell,100
2007,02,05,MSFT,Buy,100
2007,02,12,MSFT,Sell,100
2007,02,16,MSFT,Buy,100
2007,02,26,MSFT,Sell,100
2011,02,02,MSFT,Buy,100
2011,02,09,MSFT,Sell,100
2011,02,10,MSFT,Buy,100
2011,02,17,MSFT,Sell,100
2011,02,18,MSFT,Buy,100
2011,02,28,MSFT,Sell,100
